station,nan_time_count
SFINCS_0841_Kitsap,27192
SFINCS_0842_Kitsap,27192
SFINCS_0843_Kitsap,27192
SFINCS_0844_Kitsap,27192
SFINCS_0845_Kitsap,27192
SFINCS_0846_Kitsap,27192
SFINCS_0847_Kitsap,27192
SFINCS_0848_Kitsap,26448
SFINCS_0849_Kitsap,26448
SFINCS_0850_Kitsap,26448
SFINCS_0851_Kitsap,26448
SFINCS_0852_Kitsap,26448
SFINCS_0853_Kitsap,26448
SFINCS_0854_Kitsap,26448
SFINCS_0855_Kitsap,26448
SFINCS_0856_Kitsap,26448
SFINCS_0857_Kitsap,26448
SFINCS_0858_Kitsap,26448
SFINCS_0859_Kitsap,26448
SFINCS_0860_Kitsap,26448
SFINCS_0861_Kitsap,26448
SFINCS_0862_Kitsap,26448
SFINCS_0863_Kitsap,26448
SFINCS_0864_Kitsap,26448
SFINCS_0865_Kitsap,26448
SFINCS_0866_Kitsap,26448
SFINCS_0867_Kitsap,26448
SFINCS_0868_Kitsap,26448
SFINCS_0869_Kitsap,26448
SFINCS_0870_Kitsap,26448
SFINCS_0871_Kitsap,26448
SFINCS_0872_Kitsap,26448
SFINCS_0873_Kitsap,26448
SFINCS_0874_Kitsap,26448
SFINCS_0875_Kitsap,26448
SFINCS_0876_Kitsap,26448
SFINCS_0877_Kitsap,26448
SFINCS_0878_Kitsap,26448
SFINCS_0879_Kitsap,26448
SFINCS_0880_Kitsap,26448
SFINCS_0881_Kitsap,26448
SFINCS_0882_Kitsap,26448
SFINCS_0883_Kitsap,26448
SFINCS_0884_Kitsap,26448
SFINCS_0885_Kitsap,26448
SFINCS_0886_Kitsap,26448
SFINCS_0887_Kitsap,26448
SFINCS_0888_Kitsap,26448
SFINCS_0889_Kitsap,26448
SFINCS_0890_Kitsap,26448
SFINCS_0891_Kitsap,26448
SFINCS_0892_Kitsap,26448
SFINCS_0893_Kitsap,26448
SFINCS_0894_Kitsap,26448
SFINCS_0895_Kitsap,26448
SFINCS_0896_Kitsap,26448
SFINCS_0897_Kitsap,26448
SFINCS_0898_Kitsap,26448
SFINCS_0899_Kitsap,26448
SFINCS_0900_Kitsap,26448
SFINCS_0901_Kitsap,26448
SFINCS_0902_Kitsap,26448
SFINCS_0903_Kitsap,26448
SFINCS_0904_Kitsap,26448
SFINCS_0905_Kitsap,26448
SFINCS_0906_Kitsap,26448
SFINCS_0907_Kitsap,26448
SFINCS_0908_Kitsap,26448
SFINCS_0909_Kitsap,26448
